Method,Name,Error,Occurrences
POST,/api/v1/wallets/de11f7aa-ce7b-433f-954d-c25b2e49826c/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/de11f7aa-ce7b-433f-954d-c25b2e49826c/operation/'),1
POST,/api/v1/wallets/ff088208-9e62-4dd5-bdf6-1e05dc7f2fa9/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/ff088208-9e62-4dd5-bdf6-1e05dc7f2fa9/operation/'),1
GET,/api/v1/wallets/7fe61987-4d21-4745-b85f-db6f5b4665a1/,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/v1/wallets/14ac00c1-d8fe-4680-8660-906751c93ec8/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/14ac00c1-d8fe-4680-8660-906751c93ec8/operation/'),1
POST,/api/v1/wallets/bea6081b-c0b8-497c-a73a-eec2096b49e9/operation/,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/v1/wallets/f457e901-1cc4-487b-9ca4-69097adbc02d/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/f457e901-1cc4-487b-9ca4-69097adbc02d/operation/'),1
POST,/api/v1/wallets/decc0664-dc41-4ec0-a884-e39179123c3c/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/decc0664-dc41-4ec0-a884-e39179123c3c/operation/'),1
POST,/api/v1/wallets/ef3402d9-471e-420c-b6f9-6515388bc5e5/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/ef3402d9-471e-420c-b6f9-6515388bc5e5/operation/'),1
POST,/api/v1/wallets/30f52344-d226-4240-9a4c-96e26d8caca5/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/30f52344-d226-4240-9a4c-96e26d8caca5/operation/'),1
POST,/api/v1/wallets/d6ad7d22-ff5c-4e54-8d0a-e5476c4b83ef/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/d6ad7d22-ff5c-4e54-8d0a-e5476c4b83ef/operation/'),1
POST,/api/v1/wallets/e374add4-cafe-436d-81b3-b5ec17b35c7a/operation/,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/v1/wallets/247a235b-c244-47ac-80d3-cc1cd5783822/operation/,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/v1/wallets/600808e4-4c44-4db0-a946-5110b92f7e4b/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/600808e4-4c44-4db0-a946-5110b92f7e4b/operation/'),1
POST,/api/v1/wallets/08612afe-6213-4d89-a7f5-ae78c2f0aac2/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/08612afe-6213-4d89-a7f5-ae78c2f0aac2/operation/'),1
POST,/api/v1/wallets/72c118e5-e041-4230-bb18-af56f4a87c4f/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/72c118e5-e041-4230-bb18-af56f4a87c4f/operation/'),1
POST,/api/v1/wallets/a411ba6a-0f70-40f0-9490-364bc0af06e1/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/a411ba6a-0f70-40f0-9490-364bc0af06e1/operation/'),1
POST,/api/v1/wallets/82b1ef89-2043-41bf-bb46-34c4e274075f/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/82b1ef89-2043-41bf-bb46-34c4e274075f/operation/'),1
POST,/api/v1/wallets/8d0434e8-4b6e-4478-bcc5-95272ad7ac9a/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/8d0434e8-4b6e-4478-bcc5-95272ad7ac9a/operation/'),1
POST,/api/v1/wallets/f1981953-fad2-4274-a901-bab25df03a95/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/f1981953-fad2-4274-a901-bab25df03a95/operation/'),1
POST,/api/v1/wallets/23406ec8-43f2-42d7-887c-0f27e6097cfb/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/23406ec8-43f2-42d7-887c-0f27e6097cfb/operation/'),1
POST,/api/v1/wallets/8a0c2832-3d24-4438-8a3f-44941229d80d/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/8a0c2832-3d24-4438-8a3f-44941229d80d/operation/'),1
POST,/api/v1/wallets/c825620c-d878-453e-a3b2-a9db7cb2f51f/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/c825620c-d878-453e-a3b2-a9db7cb2f51f/operation/'),1
POST,/api/v1/wallets/9458a716-bda2-433c-b851-a6c62e487aeb/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/9458a716-bda2-433c-b851-a6c62e487aeb/operation/'),1
POST,/api/v1/wallets/055aac33-2cfc-4fba-94c7-e222ee079d5e/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/055aac33-2cfc-4fba-94c7-e222ee079d5e/operation/'),1
POST,/api/v1/wallets/67e2b07a-dc9b-4d6b-932f-a7a25e0fa2c5/operation/,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/v1/wallets/0b32e574-f0ee-416e-9d97-ebbdafaa0436/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/0b32e574-f0ee-416e-9d97-ebbdafaa0436/operation/'),1
POST,/api/v1/wallets/96c9fb10-e3ae-4cff-a747-2b5d70580260/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/96c9fb10-e3ae-4cff-a747-2b5d70580260/operation/'),1
POST,/api/v1/wallets/92e158b3-75f5-4c00-84ad-90aad97b5c43/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/92e158b3-75f5-4c00-84ad-90aad97b5c43/operation/'),4
POST,/api/v1/wallets/fddcf3d8-4398-4dad-a624-aa2b3ba4d90b/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/fddcf3d8-4398-4dad-a624-aa2b3ba4d90b/operation/'),1
POST,/api/v1/wallets/dc0f13e6-e024-45cc-aeba-d0b31acf8ff1/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/dc0f13e6-e024-45cc-aeba-d0b31acf8ff1/operation/'),1
POST,/api/v1/wallets/7fff7742-c25e-4c55-9be1-1892c42565ff/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/7fff7742-c25e-4c55-9be1-1892c42565ff/operation/'),1
POST,/api/v1/wallets/2b1ef25f-bc66-402e-ac59-fc8f860cfec7/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/2b1ef25f-bc66-402e-ac59-fc8f860cfec7/operation/'),1
POST,/api/v1/wallets/a3668334-6224-4ad3-a231-2b5eefe6a401/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/a3668334-6224-4ad3-a231-2b5eefe6a401/operation/'),1
POST,/api/v1/wallets/63672954-8353-485f-8fb1-34fc54710b89/operation/,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/v1/wallets/12cbd09e-cb1c-43c5-81fb-10652eadf5d4/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/12cbd09e-cb1c-43c5-81fb-10652eadf5d4/operation/'),1
POST,/api/v1/wallets/caf58958-1873-4d22-995f-3d1a8a4b12ab/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/caf58958-1873-4d22-995f-3d1a8a4b12ab/operation/'),1
POST,/api/v1/wallets/d57a9fac-8b2e-4cb4-9d0b-2938cc3b5e5c/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/d57a9fac-8b2e-4cb4-9d0b-2938cc3b5e5c/operation/'),2
POST,/api/v1/wallets/88a53d0c-5412-42e4-bd4e-47819693c028/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/88a53d0c-5412-42e4-bd4e-47819693c028/operation/'),2
POST,/api/v1/wallets/609799d6-3fc5-454f-8e7b-4dd58fc00762/operation/,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/v1/wallets/75fcb988-f572-45f2-9844-1c1f9cf281c7/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/75fcb988-f572-45f2-9844-1c1f9cf281c7/operation/'),1
POST,/api/v1/wallets/89427efb-9b23-4812-b729-e02b13274d09/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/89427efb-9b23-4812-b729-e02b13274d09/operation/'),1
POST,/api/v1/wallets/14175a94-f79c-4d69-adae-6e02edc442cb/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/14175a94-f79c-4d69-adae-6e02edc442cb/operation/'),1
POST,/api/v1/wallets/b5d69ce0-a760-43f5-a5b4-2ca4d74cdfff/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/b5d69ce0-a760-43f5-a5b4-2ca4d74cdfff/operation/'),1
POST,/api/v1/wallets/b6e25a13-82be-41be-951b-50d9ed6691ae/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/b6e25a13-82be-41be-951b-50d9ed6691ae/operation/'),1
POST,/api/v1/wallets/065eb75b-8776-47e0-bcdd-0971fbf54462/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/065eb75b-8776-47e0-bcdd-0971fbf54462/operation/'),1
POST,/api/v1/wallets/e8a9b7cc-95c2-44cb-b4fa-9ddb16d64efc/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/e8a9b7cc-95c2-44cb-b4fa-9ddb16d64efc/operation/'),1
POST,/api/v1/wallets/d8d5bde4-42dd-4484-8b94-0f01a609557d/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/d8d5bde4-42dd-4484-8b94-0f01a609557d/operation/'),1
POST,/api/v1/wallets/7dfa3cbe-7f14-42ec-ae49-56773c260017/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/7dfa3cbe-7f14-42ec-ae49-56773c260017/operation/'),1
GET,/api/v1/wallets/37a82a9c-056a-44f7-b21a-dedcdc781779/,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/v1/wallets/e4b465a3-eb61-4d53-847b-6b4b6abcc078/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/e4b465a3-eb61-4d53-847b-6b4b6abcc078/operation/'),1
POST,/api/v1/wallets/6eef5f67-93cb-45e7-a7f6-aa0530fbd450/operation/,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/api/v1/wallets/8b38683b-5759-41b1-af03-89a635c8e4ae/,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/v1/wallets/f8beb1f7-e75f-4a05-b9c2-435369d35ecf/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/f8beb1f7-e75f-4a05-b9c2-435369d35ecf/operation/'),1
POST,/api/v1/wallets/84dd4661-caec-4a2b-9707-ffff9a243635/operation/,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/v1/wallets/8be4096c-93cb-4ef9-ad5c-b6a6ccce0d16/operation/,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/v1/wallets/bd5f697a-c811-4aaa-bc79-ce1132110495/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/bd5f697a-c811-4aaa-bc79-ce1132110495/operation/'),1
POST,/api/v1/wallets/f7eb074a-b5a3-466c-89c1-fd54f54166fb/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/f7eb074a-b5a3-466c-89c1-fd54f54166fb/operation/'),1
POST,/api/v1/wallets/9e90f461-6e68-497b-9f09-c07bc1f2b90a/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/9e90f461-6e68-497b-9f09-c07bc1f2b90a/operation/'),2
POST,/api/v1/wallets/3b8a0068-6b1a-4622-99e8-b4544ba3de81/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/3b8a0068-6b1a-4622-99e8-b4544ba3de81/operation/'),1
POST,/api/v1/wallets/314d502f-42ad-41f6-b394-ceee839c549e/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/314d502f-42ad-41f6-b394-ceee839c549e/operation/'),1
POST,/api/v1/wallets/d77cf6cb-7c7a-4206-a46e-c5d71878f469/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/d77cf6cb-7c7a-4206-a46e-c5d71878f469/operation/'),1
POST,/api/v1/wallets/510a2267-a3a5-4e1a-8e33-cf64b4728c36/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/510a2267-a3a5-4e1a-8e33-cf64b4728c36/operation/'),1
GET,/api/v1/wallets/808f29f5-7ce7-4447-9cc9-5e142440cdce/,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/v1/wallets/05b46e1c-49a7-41e7-b2db-95697f55a7f3/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/05b46e1c-49a7-41e7-b2db-95697f55a7f3/operation/'),1
POST,/api/v1/wallets/f980749c-8d2f-4bec-bc69-abaaea6cfbf4/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/f980749c-8d2f-4bec-bc69-abaaea6cfbf4/operation/'),1
POST,/api/v1/wallets/acb50e4a-36b9-4af3-ba67-be1c6b9abe43/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/acb50e4a-36b9-4af3-ba67-be1c6b9abe43/operation/'),1
POST,/api/v1/wallets/2d77ae1d-bcb8-4529-9432-0c2bb51ce2f2/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/2d77ae1d-bcb8-4529-9432-0c2bb51ce2f2/operation/'),2
POST,/api/v1/wallets/0f725bc2-ffb7-443e-a033-b4f77240fa70/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/0f725bc2-ffb7-443e-a033-b4f77240fa70/operation/'),1
POST,/api/v1/wallets/abaf0b17-ea26-4292-8224-e94ab08998cc/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/abaf0b17-ea26-4292-8224-e94ab08998cc/operation/'),1
POST,/api/v1/wallets/91f72fd4-6327-4fe8-b9b4-7813e4093c41/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/91f72fd4-6327-4fe8-b9b4-7813e4093c41/operation/'),2
POST,/api/v1/wallets/e89c9b9e-e5ea-4d18-8ba3-d19077ecd065/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/e89c9b9e-e5ea-4d18-8ba3-d19077ecd065/operation/'),1
POST,/api/v1/wallets/9afe07ec-5ec8-4917-ab65-ec36baf4a557/operation/,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/v1/wallets/160a538a-53fd-469e-8ad5-8f5d5151f0e6/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/160a538a-53fd-469e-8ad5-8f5d5151f0e6/operation/'),1
POST,/api/v1/wallets/e578be43-93df-46fa-8ac3-e366949aca60/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/e578be43-93df-46fa-8ac3-e366949aca60/operation/'),1
